,shopid,userid,name,cover,follower_count,show_official_shop_label,is_preferred_plus_seller,is_shopee_verified,chat_disabled,rating_star,has_decoration,last_active_time,vacation,followed,description,item_count,response_rate,show_video_entry,video_entry_info,campaign_hot_deal_discount_min,show_deco_entry,response_time,ctime,block_cb_user,video_rn_jump_url,user_browse_shop_time,background_color,highlight_color,brand_day_end_time,account.username,account.following_count,account.portrait,account.is_seller,account.phone_verified,account.email_verified,account.fbid,account.total_avg_star,account.hide_likes,account.feed_account_info.can_post_feed,account.status,ab_test_info.header_tabs_layout,ab_test_info.deep_discount_item_card,ab_test_info.item_card,ab_test_info.feeds_live_landing,ab_test_info.image_category,ab_test_info.remove_item_count_on_category_tab,ab_test_info.default_component_improvement,ab_test_info.deep_discount_enhancement,ab_test_info.new_default_scp,ab_test_info.default_landing,ab_test_info.two_tier_category,ab_test_info.two_tier_category_for_layoutc,ab_test_info.live_stream_auto_play,ab_test_info.dd_item_card_2,ab_test_info.tier_shop_category,ab_test_info.product_one_per_row,ab_test_info.fashion_shop_improvement,ab_test_info.shop_rfy_entrypoint,ab_test_info.voucher_popup_non_buyers,ab_test_info.category_ui_improvement_1,ab_test_info.autoplay_highlight_video,ab_test_info.ads_shop_improvement,ab_test_info.non_deco_shop_homepage_personalization,ab_test_info.brand_day_overlap,ab_test_info.truncate_shop_item_card,shop_rating.rating_normal,shop_rating.rating_bad,shop_rating.rating_good,buyer_rating.rating_count,buyer_rating.rating_star,seller_metrics.cancellation_visibility,seller_metrics.cancellation_warning,seller_metrics.cancellation_rate,show_tab.new_arrival_tab.show_new_arrival_items,show_tab.new_arrival_tab.new_arrival_items_start_ts,show_tab.new_arrival_tab.latest_item_ctime,show_tab.show_live_tab,show_tab.membership_tab.show_membership_tab,show_tab.membership_tab.has_join_membership,show_tab.show_flash_sale_tab,toggles.disable_chat_performance,shop_tab_meta.shop_is_non_deco,real_url_if_matching_custom_url,account.feed_account_info.is_kol
0,133042939,133044763,KHASS Bicycles,fe2a79b5ef7cda46a4ee33bafadc628f,7073,False,False,False,False,4.920105,True,1684485226,False,False,"We are a Bicycle Shop established at 1990, carrying different type of bicycles' products. Our mission is to provide cyclists quality services & products.
我们是马来西亚的一家自行车店，成立于1990年，我们的使命是向所有自行车爱好者提供优质的产品和服务。
欢迎顾客使用中文资讯产品信息。",539,86,False,,20,False,8063.0,1552446494,False,,30,,,0.0,khassbicycles,10,c253170e82d384131a3a049bf673b856,True,True,True,,4.920245,0.0,True,1,control,default,control,treatment,new_image_cat,default,top_products,default,treatment_2,control,default,default,treatment,control,treatment_new_layout,control,control,treatment,treatment,new_category_ui,default,treatment_1,control,control,treatment,17,5,1136,"[0, 0, 0, 0, 0, 2]",5.0,0,10,6,True,1681920000,1683888543.0,False,False,False,False,False,False,,
1,88088126,88089604,wongcycleshop,45786925be285c1c5823dfb9b7ee466f,7121,False,False,True,False,4.939336,True,1684483927,False,False,"WONG Cycles is the destination for premium bikes, bike accessories, bike parts, and cycling apparel. We have an online bike shop with shipping, retail bike store in Kamunting Taiping  bike shop opening 2006. WONG Cycles are specialists in road bikes, mountain bikes&kids bike l. Our extensive range of high quality cycling products includes bikes, bike frames, wheels, helmets, shoes, jerseys, computers, lights, indoor trainers, tires, sports nutrition and more.",260,94,False,,20,False,6379.0,1536070409,False,,30,,,0.0,wongcycleshop,0,e21635d822a7f97f6b525f0dd5eb12b5,True,True,True,,4.939137,0.0,True,1,control,default,control,treatment,new_image_cat,default,top_products,default,treatment_2,control,default,default,treatment,control,treatment_new_layout,control,control,treatment,treatment,new_category_ui,default,treatment_1,control,control,treatment,108,26,10008,"[0, 1, 0, 0, 0, 32]",4.878788,0,10,0,False,1681920000,,False,False,False,False,False,False,,
2,41497437,41498823,Synergy Online Bicycle Shop,,388,False,False,False,False,4.79902,True,1684410167,False,False,,17,71,False,,20,False,6751.0,1509730757,False,,30,,,,lindayms,35,7f03d71f78e9bf9862d71e10f724e77e,True,True,True,10213694135040083,4.82,,True,1,control,default,control,treatment,new_image_cat,default,top_products,default,treatment_2,control,default,default,treatment,control,treatment_new_layout,control,control,treatment,treatment,new_category_ui,default,treatment_1,control,control,treatment,7,1,202,"[0, 1, 0, 0, 0, 45]",4.913043,0,10,0,False,1681920000,,False,False,False,False,False,True,,
3,6921423,6922715,BBM CYCLES,c6dcf319b696bb264ea68cba7fafbdb4,20569,False,False,False,True,4.945696,True,1684486016,False,False,"We’re Authorised and Preferred Delaers for Polygon,MARIN, ORBEA, Willer Triestina, Dahon, Tern bikes in Malaysia.Authorised parts dealers for such international bicyle needs SHIMANO,Topeak, Schwalbe, Elite, Fizik, Voile Straps, Brooks England, Pro Components,Wolf Tooth components, Cateye, Maxxis, Vision, and many more.come to visit us today!. Our team have 10 years experience on online and offline selling.
WE OFFER HIGH QUALITY BRANDED PRODUCT THAT MEET INTERNATIONAL STANDARDS.",1770,66,False,,20,False,4608.0,1466101788,False,,30,,,0.0,bicycleblock,3,5cf5f9d35f4a8ca0c8d0fd243c89450b,True,True,True,10212838030893082,4.945883,1.0,True,1,control,default,control,treatment,new_image_cat,default,top_products,default,treatment_2,control,default,default,treatment,control,treatment_new_layout,control,control,treatment,treatment,new_category_ui,default,treatment_1,control,control,treatment,133,55,15077,"[0, 0, 0, 0, 0, 52]",5.0,0,10,0,True,1681920000,1683646964.0,False,False,False,False,False,False,,
4,21678234,21679569,MYB.BICYCLE.STORE,,411,False,False,False,False,4.788136,False,1684464674,False,False,,378,11,False,,20,False,38506.0,1493886981,False,,30,,,,myb.bicycle.store,27,a0321801d001815b596920b1899efde1,True,True,True,,4.762295,0.0,True,1,control,default,control,treatment,new_image_cat,default,top_products,default,treatment_2,control,default,default,treatment,control,treatment_new_layout,control,control,treatment,treatment,new_category_ui,default,treatment_1,control,control,treatment,2,4,113,"[0, 1, 0, 0, 0, 3]",4.0,0,10,0,False,1681920000,,False,False,False,False,False,True,,
5,28087183,28088567,MY Bicycle Home,,5403,False,False,True,False,4.934942,False,1684486132,False,False,,1171,100,False,,20,False,1530.0,1500372468,False,,30,,,,mybicyclehome,22,afb4e45b41c3b2a98b44b41d7414737e,True,True,True,1591113397587508,4.934874,0.0,True,1,control,default,control,treatment,new_image_cat,default,top_products,default,treatment_2,control,default,default,treatment,control,treatment_new_layout,control,control,treatment,treatment,new_category_ui,default,treatment_1,control,control,treatment,261,85,22360,"[0, 0, 0, 1, 1, 21]",4.869565,0,10,0,True,1681920000,1684312473.0,False,False,False,False,False,True,,
6,108375987,108377466,PC Bike Shop,fd8c79cb2d33d1150183a5dae009d65d,4520,False,False,True,False,4.94491,True,1684486131,False,False,"Our goal is to provide cyclists a one-stop service from selling essential products, maintenance products or high end products that are used to upgrade bikes. Besides that we also provide a variety of branded products for all types of cyclists' requirement. We hope to satisfy every cyclists' needs and wants.",1412,91,False,,20,False,3338.0,1543392022,False,,30,,,0.0,procyclist,60,6021252f37bca19d5e28d11b12bde26e,True,True,True,,4.944278,0.0,True,1,control,default,control,treatment,new_image_cat,default,top_products,default,treatment_2,control,default,default,treatment,control,treatment_new_layout,control,control,treatment,treatment,new_category_ui,default,treatment_1,control,control,treatment,103,31,9652,"[0, 2, 0, 0, 0, 32]",4.764706,0,10,2,True,1681920000,1684320707.0,False,False,False,False,False,False,,
7,383361792,383381369,KTM BICYCLE N.S,247c97b3bc952add1ef317ffa28a35b4,4336,False,False,False,False,4.895795,True,1684483138,False,False,"We are authorised ALCOTT, JAVA, KTM, TRS, BATTLE, UNITED authorised dealer in Negeri Sembilan. We provide Loan, credit card(easy payment) for the bicycle purchase.",293,66,False,,20,False,14116.0,1612420908,False,,30,,,0.0,bicyclestation,1,e43fd66e90fb8110f0e6edac85fbbdc8,True,True,True,,4.895795,,True,1,control,default,control,treatment,new_image_cat,default,top_products,default,treatment_2,control,default,default,treatment,control,treatment_new_layout,control,control,treatment,treatment,new_category_ui,default,treatment_1,control,control,treatment,12,5,539,,,0,10,13,True,1681920000,1683340587.0,False,False,False,False,False,False,,
8,118079454,118081278,DAIICHI BICYCLE,4519d636e5619f7649b77e2fab711e6e,2490,False,False,False,False,4.862891,True,1684481646,False,False,"Hi 👋🏼 Welcome to Daiichi Bicycle Online Store 🔔✨ Enjoy Shopping with us 🚴🏼‍♀️🚴🏼🚴🏼‍♂️

🇲🇾 Malaysia Local Seller 🇲🇾 
📦 All items Ready stock 📦
🔧 Retail & Repair ⚙️

Waze: Daiichi Bicycle

Address: NO 15 JLN LITER D U19D, Jalan Kuala Selangor, Bandar Baru Sungai Buloh, 47000 Sungai Buloh, Selangor.

#ridewithdaiichi",315,53,False,,20,False,7222.0,1546487465,False,,30,,,0.0,daiichibicycle,65,490e1165715a2b8aac2c509a3084343b,True,True,True,,4.864106,0.0,True,1,control,default,control,treatment,new_image_cat,default,top_products,default,treatment_2,control,default,default,treatment,control,treatment_new_layout,control,control,treatment,treatment,new_category_ui,default,treatment_1,control,control,treatment,37,11,1318,"[0, 0, 0, 0, 0, 12]",5.0,0,10,0,True,1681920000,1684298120.0,False,False,False,False,False,False,,False
9,77698197,77699668,Giant Bike Store,,2541,False,False,False,False,4.903846,False,1684485694,False,False,"WE ARE AUTHORISED GIANT BIKE DEALER IPOH
We Sell, We Repair, We Service, We Provide Warranty!
We only sell Genuine Giant Bike with Warranty Coverage!
Buy With Full Confidence!

https://www.facebook.com/giantbicycleipoh
https://www.bikes.com.my
",221,87,False,,20,False,4663.0,1530767754,False,,30,,,,bikesgallery,28,f30ab54e4f250726562849c6292d0702,True,True,True,,4.910256,1.0,True,1,control,default,control,treatment,new_image_cat,default,top_products,default,treatment_2,control,default,default,treatment,control,treatment_new_layout,control,control,treatment,treatment,new_category_ui,default,treatment_1,control,control,treatment,7,2,361,"[0, 0, 0, 0, 0, 26]",5.0,0,10,0,True,1681920000,1682062188.0,False,False,False,False,False,True,,
